Population name,MapID,Type,Latitude,Longitude,Elevation (m)
Blue Lake,F1,Focal,49.0467,-119.5574,842
Johnstone Creek,F2,Focal,49.0444,-119.0485,866
Border,D1,Donor,48.9754,-118.99,1211
Day Creek Road,D2,Donor,48.9375,-118.5128,911
Bodie Mountain,D3,Donor,48.8255,-118.8303,1603
Boulder Creek Road,D4,Donor,48.7592,-118.3318,1115
Aeneas Valley,D5,Donor,48.5408,-118.9092,1126
Henry Creek Road,D6,Donor,47.4487,-114.7746,1103
Heyburn State Park,D7,Donor,47.3423,-116.7876,801
McCrosky State Park,D8,Donor,47.086,-116.9756,1186
Graves Creek Road,D9,Donor,46.8049,-114.4063,1201
Bitterroot,D10,Donor,46.5377,-113.885,1424
Abel's Ridge,D11,Donor,46.2836,-117.596,1457
Tucannon,D12,Donor,46.2353,-117.7422,1022
Pendleton,D13,Donor,45.737,-118.2548,649
