Response,Local vs. foreign,,,,Size during previous census,,,
,Estimate,SE,z-value,P-value,Estimate,SE,z-value,P-value
Germination,-0.034,0.088,-0.383,0.702,-,-,-,-
Size after germination,0.027,0.073,0.374,0.708,-,-,-,-
Overwinter survival,0.176,0.126,1.4,0.161,0.377,0.033,11.356,0
Size after winter,-0.068,0.182,-0.375,0.708,0.75,0.042,17.849,0
Fruit count,0.089,0.146,0.606,0.544,0.544,0.041,13.209,0
Seed production,-0.005,0.128,-0.042,0.966,0.388,0.032,11.955,0
Lifetime fitness - zero inflation,-0.032,0.123,-0.256,0.798,-,-,-,-
Lifetime fitness - conditional,-0.093,0.128,-0.724,0.469,-,-,-,-
