,Predictor,,,Size,,
Response,Estimate,SE,P-value,Estimate,SE,P-value
,Fst,,,,,
Germination,0.124,0.059,0.034,-,-,-
Size after germination,0.014,0.014,0.306,-,-,-
Overwinter survival,0.054,0.035,0.124,0.336,0.037,0
Size after winter,0.104,0.05,0.035,0.743,0.044,0
Fruit count,0.067,0.031,0.028,0.451,0.044,0
Seed production,0.081,0.029,0.005,0.335,0.035,0
Lifetime fitness - zero inflation,0.086,0.028,0.002,-,-,-
Lifetime fitness - conditional,0.08,0.031,0.01,-,-,-
,Temp,,,,,
Germination,-0.088,0.07,0.212,-,-,-
Size after germination,-0.029,0.017,0.096,-,-,-
Overwinter survival,-0.054,0.049,0.275,0.335,0.037,0
Size after winter,-0.132,0.07,0.06,0.743,0.044,0
Fruit count,-0.121,0.063,0.057,0.457,0.044,0
Seed production,-0.071,0.066,0.285,0.336,0.035,0
Lifetime fitness - zero inflation,-0.148,0.046,0.001,-,-,-
Lifetime fitness - conditional,-0.09,0.056,0.105,-,-,-
,PPT,,,,,
Fruit count,0.047,0.084,0.575,0.452,0.044,0
Seed production,0.099,0.076,0.192,0.335,0.035,0
Lifetime fitness - conditional,0.123,0.078,0.113,-,-,-
