"model","abs_tave_diff_midparent_dec_mar_scaled","nov_size_scaled","abs_tave_diff_dec_mar_scaled","abs_tave_diff_midparent_sep_jul_scaled","abs_tave_diff_sep_jul_scaled","abs_ppt_mm_diff_apr_jul_scaled:Estimate","abs_ppt_mm_diff_apr_jul_scaled:Pr(>|z|)","abs_ppt_mm_diff_apr_jul_scaled:Std. Error","abs_ppt_mm_diff_apr_jul_scaled:z value","abs_tave_diff_apr_jul_scaled:Estimate","abs_tave_diff_apr_jul_scaled:Pr(>|z|)","abs_tave_diff_apr_jul_scaled:Std. Error","abs_tave_diff_apr_jul_scaled:z value","abs_tave_diff_sep_nov_scaled:Estimate","abs_tave_diff_sep_nov_scaled:Pr(>|z|)","abs_tave_diff_sep_nov_scaled:Std. Error","abs_tave_diff_sep_nov_scaled:z value","mar_size_scaled:Estimate","mar_size_scaled:Pr(>|z|)","mar_size_scaled:Std. Error","mar_size_scaled:z value","ppt:Estimate","ppt:Pr(>|z|)","ppt:Std. Error","ppt:z value","temp:Estimate","temp:Pr(>|z|)","temp:Std. Error","temp:z value","typeWI:Estimate","typeWI:Pr(>|z|)","typeWI:Std. Error","typeWI:z value","X.Intercept.:Estimate","X.Intercept.:Pr(>|z|)","X.Intercept.:Std. Error","X.Intercept.:z value"
"fruitcount.gf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0,0.03,16.307,-0.092,0.007,0.034,-2.711,-0.081,0.011,0.032,-2.541,-0.125,0.021,0.055,-2.302,0.962,0.002,0.312,3.083
"fruitcount.gf.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332,0,0.048,6.973
"fruitcount.wi.mod.cond",NA,NA,NA,NA,NA,-0.091,0.119,0.058,-1.559,-0.114,0.108,0.071,-1.608,NA,NA,NA,NA,0.543,0,0.041,13.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711,0.041,0.347,2.048
"fruitcount.wi.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261,0,0.067,3.922
"germ.gf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.088,0.003,0.029,-3.018,0.035,0.653,0.078,0.45,-0.275,0.38,0.313,-0.877
"germ.wi.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.094,0.007,0.035,-2.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.258,0.42,0.319,-0.806
"marsize.gf.mod.cond",-4.017,23.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,NA,NA,NA,6.561
"marsize.gf.mod.cond",-0.274,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,NA,5.046,NA,NA,NA
"marsize.gf.mod.cond",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,NA,NA,NA,0,NA,NA
"marsize.gf.mod.cond",0.068,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,NA,NA,NA,0.769,NA
