"model","abs_ppt_mm_diff_apr_jul_scaled:Estimate","abs_ppt_mm_diff_apr_jul_scaled:Pr(>|z|)","abs_ppt_mm_diff_apr_jul_scaled:Std. Error","abs_ppt_mm_diff_apr_jul_scaled:z value","abs_tave_diff_apr_jul_scaled:Estimate","abs_tave_diff_apr_jul_scaled:Pr(>|z|)","abs_tave_diff_apr_jul_scaled:Std. Error","abs_tave_diff_apr_jul_scaled:z value","abs_tave_diff_dec_mar_scaled:Estimate","abs_tave_diff_dec_mar_scaled:Pr(>|z|)","abs_tave_diff_dec_mar_scaled:Std. Error","abs_tave_diff_dec_mar_scaled:z value","abs_tave_diff_sep_jul_scaled:Estimate","abs_tave_diff_sep_jul_scaled:Pr(>|z|)","abs_tave_diff_sep_jul_scaled:Std. Error","abs_tave_diff_sep_jul_scaled:z value","abs_tave_diff_sep_nov_scaled:Estimate","abs_tave_diff_sep_nov_scaled:Pr(>|z|)","abs_tave_diff_sep_nov_scaled:Std. Error","abs_tave_diff_sep_nov_scaled:z value","local_foreignlocal:Estimate","local_foreignlocal:Pr(>|z|)","local_foreignlocal:Std. Error","local_foreignlocal:z value","mar_size_scaled:Estimate","mar_size_scaled:Pr(>|z|)","mar_size_scaled:Std. Error","mar_size_scaled:z value","nov_size_scaled:Estimate","nov_size_scaled:Pr(>|z|)","nov_size_scaled:Std. Error","nov_size_scaled:z value","X.Intercept.:Estimate","X.Intercept.:Pr(>|z|)","X.Intercept.:Std. Error","X.Intercept.:z value"
"fruitcount.lf.mod.cond",-0.099,0.115,0.063,-1.578,-0.112,0.11,0.07,-1.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009,0.954,0.155,-0.058,0.539,0,0.041,13.084,NA,NA,NA,NA,0.707,0.037,0.34,2.08
"fruitcount.lf.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281,0,0.065,4.306
"germ.lf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0.003,0.034,-2.946,-0.024,0.776,0.085,-0.285,NA,NA,NA,NA,NA,NA,NA,NA,-0.233,0.439,0.302,-0.773
"marsize.lf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,-0.515,0,0.095,-5.42,NA,NA,NA,NA,NA,NA,NA,NA,-0.061,0.728,0.176,-0.347,NA,NA,NA,NA,0.748,0,0.042,17.867,5.16,0,0.761,6.776
"marsurv.lf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,-0.087,0.007,0.032,-2.688,NA,NA,NA,NA,NA,NA,NA,NA,0.229,0.072,0.127,1.8,NA,NA,NA,NA,0.367,0,0.033,10.964,0.661,0.003,0.222,2.977
"novsize.lf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027,0.302,0.026,-1.032,0.026,0.721,0.073,0.357,NA,NA,NA,NA,NA,NA,NA,NA,3.048,0,0.119,25.699
"seeds.lf.mod.cond",-0.123,0.01,0.048,-2.56,-0.064,0.216,0.051,-1.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101,0.448,0.134,-0.759,0.388,0,0.033,11.885,NA,NA,NA,NA,4.734,0,0.166,28.524
"seeds.lf.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788,0,0.038,20.577
"seedsall.lf.mod.cond",-0.085,0.112,0.054,-1.588,NA,NA,NA,NA,NA,NA,NA,NA,-0.122,0.021,0.053,-2.307,NA,NA,NA,NA,-0.137,0.312,0.135,-1.011,NA,NA,NA,NA,NA,NA,NA,NA,4.809,0,0.112,42.95
"seedsall.lf.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342,0,0.033,10.235,NA,NA,NA,NA,-0.025,0.84,0.124,-0.202,NA,NA,NA,NA,NA,NA,NA,NA,2.477,0,0.034,72.911
